Title,Link
"Department of Computer Science & Engineering, in association with C-DAC Pune and Walchand College of Engineering, Sangli (NSM Nodal Centre), announces aOne-Week FDP on High Performance Computing and AIunder the aegis of the National Supercomputing Mission (NSM), Government of India, from 17–21 Nov 2025 (Offline) & 6 Dec 2025 (Online)",Event/cse/FDP-High Performance Computing and AI.pdf
"SKN Sinhgad College of Engineering, Pandhapur. in association with All India Council for Technical Education Organizing one Week FDP On“Smart and Sustainable Manufacturing in Industry  4.0/5.0: Challenges and Opportunities”on 15-12-2025 to 20-12-2025",downloads/workshop-seminar/FDP Brochure.pdf
"Computer Science and Engineering Dept. in association with P. A. H. Solapur University, Solapur Organized One Day Workshop On“Cyber Forensics Tools & Techniques”on 17-03-2023",downloads/workshop-seminar/Cyber Forensics Tools & Techniques.pdf
"Electronics and Tele. Communication Engineering Dept. Organized Webinar on ""Data Science and it's Applications""on 15-01-2022",https://drive.google.com/file/d/1wiW3yex7WpVtisnFIbjZ6FYbQq79jyy3/view?usp=sharing
"Electronics & Telecommunication Engineering Dept. Organized Webinar on ""Full Stack Development Technology and Implementation""on 14-01-2022",downloads/Activity webinar_fullstack_development 14-01-2022.pdf
"Computer Science and Engineering Dept. Organized ""A Webniar on Angular JS""on 11-01-2022",https://docs.google.com/document/d/1Tk2q1U-ROeWiUwFRtuLgZTAeV7vpidZA/edit?usp=sharing&ouid=108605596216072436997&rtpof=true&sd=true
IIT Workshop Conducted,downloads/iitrc/National Mission on Education through ICT.pdf
"Online ""IPR Workshop-Patents,Designs""on 22-12-2021",#
"One Week FDP On""Outcome based Pedagogy for Effective Teaching and Learning in Engineering Education""on 14-18 June, 2021",downloads/FDP_Brochure_14_June_2021.pdf
"Department of Computer science and Engg. organizes one day online workshop on""Google Cloud Certification""on 15 May, 2021",downloads/cse/15_May.jpeg
"Department of Electrical and Mechanical organizes Two day online workshop on""Recent Trends In Electric Vehicles""on 16 to 17 April, 2021",downloads/elec/Elec.jpeg
"One Week online FDP on""Essential Mathematics for Engineers and Researchers ""from 23 Nov. To 27 Nov. 2020.",
Click here for Brochure,downloads/fe/FDP.pdf
Registration,https://forms.gle/7nbWRPCL5oqBBHP67
"Civil Engg. dept. orgnizes One Week online FDP on""QCAD and QGIS""on 22 to 26 June 2020",
"Mechanical Engg. dept. organizes Two day online workshop on""Quality Research Paper Writing,Publication and Research Methodology""on 22 to 23 June, 2020",
International Journal of Research in Computer Science and Information Technology,https://ijrcsit.sknscoe.ac.in/
Springer BJIT Paper Link 1,https://link.springer.com/article/10.1007/s41870-021-00810-y
Springer BJIT Paper Link 2,https://link.springer.com/article/10.1007/s41870-021-00847-z
CRC Press Procd,https://www.routledge.com/Intelligent-Computing-in-Information-Technology-for-Engineering-System/Karande-Deshmukh-Mahalle/p/book/9781032270807 
"Thin Film Nanomaterials: Synthesis, Properties and Innovative Energy Applications",https://www.eurekaselect.com/ebook_volume/3737
Journal of Nano- and Electronic Physics (JNEP) Link 1,https://jnep.sumdu.edu.ua/en/component/content/full_article/3005
Journal of Nano- and Electronic Physics (JNEP) Link 2,https://jnep.sumdu.edu.ua/en/component/archive/
IOP Materials Science and Engineering Vol. 814,https://iopscience.iop.org/issue/1757-899X/814/1
CRC Press Book,https://www.routledge.com/Artificial-Intelligence-Internet-of-Things-IoT-and-Smart-Materials-for/Kolhe-Karande-Deshmukh/p/book/9781032115023 
AIP Publishing Vol. 2494,https://aip.scitation.org/toc/apc/2494/1?size=all
Advik-2K24 College Magazine,Advik/Advik 2024.pdf
Advik-2K22 College Magazine,Advik/Advik 2022.pdf
WEENGS-2K24,Event/WEENGS 2K24.jpg
HACKATHON-2k24,./Event/cse/Hackathon-2K24.jpg
ALUMINI MEET-2024,http://sknscoe.ac.in/Alumni.php
SPECTRUM-2K25,https://spectrum.sknscoe.ac.in
CARNIVAL 2K24,events/Carnival 2k24.pdf
Sinhgad Sport-2024,events/All Sport Activity-2K22.pdf
Conference 2k22,https://iciaiml.sknscoe.ac.in/
IEI Student's Chapter for CSE Started in SKNSCOE,Event/cse/020217/Opening of IEI StudentsChapter_CSE.pdf
For More Videos Click Here,hogallery.php
Read More,new-Image.php
Academic Calendar,academicCalendar.php
Anti Ragging Act,other/AICTE-Rules-Ragging.pdf
RTI Act,other/rti-act.pdf
Mandatory Disclosure,downloads/Mandatory_Disclosure_2025-26.pdf
College Brochure,/downloads/SKNSCOE-Brochure.pdf
Safety & Security of Girls & Women,other/Laingik Chal Defination & Introduction.pdf
"SKNSCOE,Pandharpur",Index.php
